name,location,city,district,address,latitude,longitude,telephone
北市大安區幸安國民小學,幸安國小健康中心,台北市,大安區,仁愛路三度22號,25.037580,121.534866,27074191-2104
臺北市立陽明教養院華岡院區,文康大樓1樓,台北市,士林區,凱旋路61巷4弄9號,25.135194,121.541256,2861-1380-355
臺北市士林老人服務暨日間照顧中心,日照大廳廁所旁,台北市,士林區,忠誠路二段53巷7號6樓,25.111436,121.532287,(02)2838-1571#212
國立臺灣師範大學校本部,校本部勤大樓一樓,台北市,大安區,和平東路1段162號,25.025005,121.527798,02-77343107
財團法人台北市私立陽明養護中心,辦公室前,台北市,北投區,台北市北投區公館路209巷18號,25.121445,121.502713,0979167466
臺北市文山區武功國民小學,警衛室外牆,台北市,文山區,興隆路一段68號,25.003889,121.540493,02-29314360-31
台北健身中心有限公司,台北市中山區民生東路一段29號B1,台北市,中山區,民生東路一段29號B1,25.058208,121.525247,0939677939
臺北市大同區蓬萊國民小學,臺北市大同區蓬萊國民小學太原門穿堂,台北市,大同區,寧夏路35號,25.056387,121.515710,(02)25569835
台北巿士林區福林國小,健康中心,台北市,士林區,福志路75號,25.098216,121.529446,2831-6293轉211
臺北市文山區興德國民小學,健康中心外,台北市,文山區,興隆路二段235號,25.001622,121.550770,02-29329431#46
臺北市士林區劍潭國民小學,川堂,台北市,士林區,通河街16號,25.079924,121.522887,28855491
臺北市萬華區福星國民小學,健康中心,台北市,萬華區,中華路一段66號,25.046784,121.507931,02-23144668-132
臺北市南港區修德國小,臺北市南港區修德國小健康中心,台北市,南港區,東新街118巷86號,25.045532,121.589636,02-27880500#133
士林國小,士林國小健康中心,台北市,士林區,大東路165號,25.095049,121.524608,0956767878
全真概念健康事業股份有限公司-天母分公司,B1入口櫃台正對面,台北市,士林區,忠誠路二段188號B1,25.116401,121.533665,0987630735
臺北市信義區博愛國民小學,2F演藝廳外,台北市,信義區,松仁路95巷20號,25.036184,121.570456,(02)23450616#340
國立政治大學,自強十舍服務中心外面,台北市,文山區,指南路2段64號,24.980155,121.571928,(02)82375000
台北市永福之家,3樓護理站前走道,台北市,士林區,莊頂路2號,25.110627,121.549328,28611381
北投青磺名湯(立興朝代有限公司),一樓大廳,台北市,北投區,中央北路1段12號1樓,25.133912,121.500998,0978555958
臺北市政府社會局老人自費安養中心,長青樓1樓服務台前面,台北市,文山區,興隆路4段109巷30弄6號,24.986384,121.562557,02-29393146-3101
全真概念健康事業股份有限公司-南港分公司,全真瑜珈南港店,台北市,南港區,經貿二路188號B棟4樓,25.058113,121.616748,02-2653-0333
永吉大樓,1樓櫃檯後方,台北市,信義區,永吉路302號,25.045326,121.574878,02-27494853
台北兒童福利中心,育幼家庭1樓中庭,台北市,信義區,忠孝東路5段295巷8號,25.042138,121.572650,2767-9264
臺北市立濱江國中,體育館三樓,台北市,中山區,樂群二路262號,25.079550,121.560750,02-85020126*308
臺北市立新興國民中學,臺北市立新興國民中學健康中心外走廊,台北市,中山區,林森北路511號,25.062062,121.526717,02-25714211#305
臺北市中正區忠孝國小,忠孝國小,台北市,中正區,忠孝東路二段101號,25.042927,121.531533,23918170#823
臺北市士林區百齡國民小學,臺北市士林區百齡國小活動中心二樓教務處旁,台北市,士林區,福港街205號,25.085358,121.518883,28817683*837
國立政治大學,校門口警衛室外面,台北市,文山區,指南路2段64號,24.987383,121.575917,29387285
大地國際酒店股份有限公司,一樓湯屋公共區,台北市,北投區,奇岩路1號,25.134518,121.507480,02-55518888#8311
大地國際酒店股份有限公司,三樓泳池旁,台北市,北投區,奇岩路1號,25.134659,121.507197,02-55518888#8311
緹力士健康事業股份有限公司-大直會館,5F大廳櫃台正前方,台北市,中山區,樂群三路218號5樓,25.082370,121.557688,5581-9888#161
兒童新樂園麗陽美食街,美食街後方,台北市,士林區,承德路5段55號,25.097021,121.514701,02-28355500
台北市文山區實踐國小,前門校門口川堂,台北市,文山區,忠順街1段4號,24.983727,121.557639,(02)29368704#136
臺北市文山區興華國民小學,學校健康中心,台北市,文山區,興隆路3段125巷6號,24.999750,121.558903,2239-3070*123
臺北市松山區西松國民小學,總務處,台北市,松山區,東光里三民路5號,25.054159,121.563862,27609221#342
台北市文山區博嘉國民小學,校門口警衛室內,台北市,文山區,木柵路4段159巷14-1號,25.001764,121.575820,02-22302585轉115
臺北市信義區博愛國民小學,1F前穿堂,台北市,信義區,松仁路95巷20號,25.036232,121.570767,(02)23450616#340
臺北市大同區日新國民小學,警衛室門口,台北市,大同區,太原路151號,25.054389,121.516476,25584819
臺北市文山區溪口國民小學,健康中心走廊,台北市,文山區,景福街225號,24.994130,121.538757,09350955＃741
臺北市文山區明道國民小學,健康中心內,台北市,文山區,臺北市文山區木柵路二段138巷61號,24.987320,121.562581,0910919455
臺北市士林區雨聲國民小學,穿堂,台北市,士林區,至誠路一段62巷70號,25.102662,121.535265,28311004*225
遠雄蘇黎世經貿,社區大樓中庭,台北市,內湖區,新湖一路133號,25.058770,121.576294,02-27955486
犀利玩家體適能工作室,艋舺大道120巷11弄9號1F&amp;B1,台北市,萬華區,艋舺大道120巷11弄9號1F&amp;B1,25.032864,121.502510,0978132932
臺北市大同區永樂國小,一樓健康中心門口,台北市,大同區,延平北路二段266號,25.061297,121.511085,02-25534882
大同股份有限公司,新設工2樓餐廳內,台北市,中山區,中山北路3段22號,25.064449,121.521711,0912516721
指南宮管理委員會,純陽殿茶亭內,台北市,文山區,萬壽路115號,24.978609,121.586820,29399922
桃園捷運A1台北車站,B1預辦登機層詢問處附近,台北市,中正區,鄭州路8號,25.049258,121.512276,(03)283-8888分機71165
臺北捷運南港軟體園區站BR23,主詢問處附近,台北市,南港區,經貿二路183號,25.059968,121.615900,(02)87975345
太平洋崇光百貨股份有限公司,SOGO忠孝店1樓西後出入口旁,台北市,大安區,忠孝東路4段45號,25.042045,121.544859,02-77135555#8754
東吳大學(雙溪校區),雙溪校區綜合大樓1樓軍訓室門口,台北市,士林區,臨溪路70號,25.094004,121.546276,02-28819471-7523
老爺大酒店股份有限公司,在 1樓大廳,台北市,中山區,中山北路2段37-1號,25.053924,121.522844,02-25423299 分機357
台北君悅酒店,一樓商務中心旁,台北市,信義區,松壽路2號,25.035255,121.562439,02-27201200#3082
誠品站前店（台北車站K區地下街）,誠品站前店,台北市,中正區,忠孝西路1段47號B1F,25.046366,121.517833,02-6632-8168*100
三德觀光大飯店股份有限公司,一樓大廳,台北市,大同區,承德路3段49號,25.064848,121.518555,25963121#3310
誠品生活信義店,B2F外籍旅客退稅服務中心,台北市,信義區,松高路11號,25.039367,121.565775,(02)87893388#2322
誠品生活松菸店,3F 書店讀者服務中心,台北市,信義區,菸廠路88號,25.044626,121.561242,0939400870
誠品生活松菸店,B2F 顧客服務中心,台北市,信義區,菸廠路88號,25.044545,121.561457,0939400870
誠品書店劇場店,誠品書店劇場生活店後門旁,台北市,中正區,中山南路21-1號,25.034966,121.517981,02-23935559
臺北高等行政法院,本院1樓法警室,台北市,士林區,文林路725號,25.101359,121.518767,2833-3822分機311
臺北捷運木柵站BR02,捷運木柵站1樓大廳,台北市,文山區,木柵路4段135號,24.998241,121.573145,(02)27828660#3039
臺北捷運新北投站R22A,捷運新北投站_大廳,台北市,北投區,大業路700號,25.136933,121.502530,25505600轉4338
臺北捷運南京復興站BR11,捷運文湖線南京復興站3樓大廳,台北市,松山區,南京東路3段253號,25.052256,121.543969,(02)27828660#3039
臺北捷運忠孝復興站BR10,捷運文湖線忠孝復興站詢3樓大廳,台北市,大安區,復興南路1段180號,25.041643,121.543768,(02)27828660#3039
臺北捷運大橋頭站O12,臺北捷運大橋頭站O12,台北市,大同區,民權西路223號,25.063176,121.513109,(02)25505600轉7920
臺北捷運公館站G07,地下1樓大廳層詢問處附近,台北市,大安區,羅斯路4段74號,25.014981,121.534222,0910690176
臺北捷運文德站BR18,主詢問處附近,台北市,內湖區,文德路214號,25.078552,121.584714,(02)87975345
鼎鼎大飯店股份有限公司,1F 商店旁走道內,台北市,大安區,敦化南路二段201號,25.026612,121.549282,0931077362
臺北捷運中山站R14,捷運淡水線中山站B1大廳層詢問處左前方(非付費區),台北市,中山區,南京西路16號,25.052694,121.520369,25505600#3636
臺北捷運大安森林公園站R06,車站大廳詢問處旁,台北市,大安區,信義路3段100號,25.033544,121.534851,02-21812345
臺北捷運六張犁站BR07,捷運六張犁站3樓大廳,台北市,大安區,和平東路3段168號,25.023749,121.552984,(02)27828660#3039
臺北捷運劍南路站BR15,主詢問處附近,台北市,中山區,北安路798號,25.084875,121.555537,(02)87975345
臺北捷運台北車站BL12,捷運板南線台北車站B2層3號詢問處旁(付費區),台北市,中正區,忠孝西路1段49號,25.046273,121.517498,02-21812345
臺北捷運南港展覽館站BR24,主詢問處附近,台北市,南港區,南港路1段32號,25.055390,121.617555,(02)87975345
臺北捷運後山埤站BL20,東側大廳,台北市,南港區,忠孝東路6段2號B1,25.045083,121.582453,02-2550-5600#6108
臺北捷運士林站R16,捷運淡水線士林站靠近2號出口側之男生廁所旁(付費區),台北市,士林區,福德路1號,25.093535,121.526230,02-21812345
臺北捷運昆陽站BL21,東側大廳,台北市,南港區,忠孝東路6段451號,25.050461,121.593268,02-2550-5600#6108
臺北市議會,1樓大廳右側警衛台旁,台北市,信義區,仁愛路4段507號,25.038463,121.562251,27297708#1110
台北文華東方酒店,地下3樓安全部辦公室,台北市,松山區,敦化北路158號,25.055779,121.548384,02-2715-6888 ext. 1901 - 2
台北文華東方酒店,一樓客務部辦公室,台北市,松山區,敦化北路158號,25.055726,121.548336,02-2715-6888 ext. 1901 - 2
今日秀泰影城,四樓大廳休息區,台北市,萬華區,峨眉街52號,25.043788,121.505393,0970197547
陽明山臻愛樓,陽明山臻愛樓大廳電梯旁,台北市,北投區,泉源路220號,25.142030,121.527473,02-87329721
大同股份有限公司,北設工大樓一樓大廳,台北市,中山區,中山北路3段22號,25.064372,121.521670,02-25984405
體線運動工作室,櫃檯,台北市,松山區,民生東路五段30號5樓,25.058233,121.556689,0928779623
悅庭牙醫診所,大廳櫃臺旁邊,台北市,士林區,中正路172號2樓,25.095829,121.527622,02-2834-2727
臺北捷運內湖站BR19,主詢問處附近,台北市,內湖區,成功路4段186號,25.083682,121.594368,(02)87975345
臺北捷運葫洲站BR21,主詢問處附近,台北市,內湖區,康寧路3段16號,25.072723,121.607111,(02)87975345
臺北捷運明德站R18,捷運淡水線明德站詢問處旁(付費區),台北市,北投區,明德路95號,25.109721,121.518848,02-21812345
臺北捷運忠孝新生站BL14,西側大廳,台北市,中正區,新生南路1段67號B1,25.042378,121.532862,02-2550-5600#6108
臺北捷運忠孝復興站BL15,西側大廳,台北市,大安區,忠孝東路4段47號B1,25.041654,121.543706,02-2550-5600#6108
臺北捷運國父紀念館站BL17,東側大廳,台北市,信義區,忠孝東路4段400號B1,25.041370,121.557764,02-2550-5600#6108
臺北捷運永春站BL19,東側大廳,台北市,信義區,忠孝東路5段455號B1,25.040879,121.576233,02-2550-5600#6108
臺北捷運南港站BL22,中偏東側大廳,台北市,南港區,忠孝東路7段380號B1,25.052139,121.606652,02-2550-5600#6108
教育部第二辦公室,大門電梯入口處,台北市,中正區,忠孝東路1段172號,25.043878,121.526315,0277366014
歐艾斯綜合設施管理服務,台資大樓10樓歐艾斯設施管理服務公司門口,台北市,松山區,八德路三段20號10樓之1及之2,25.048070,121.551105,0926671897
臺北市勞動檢查處,大門左手邊走道旁,台北市,萬華區,艋舺大道101號7樓,25.033460,121.501347,02-2308-6101#804
台灣高速鐵路(股)公司-台北車站,一月台站務室北側柱面,台北市,中正區,北平西路3號,25.047931,121.517174,03-2623000ext29119
台北市河濱自行車租借站關渡站,關渡租借站內,台北市,北投區,知行路上，關渡宮北側，關渡碼頭旁。,25.122420,121.461888,0977320538
台北市河濱自行車租借站觀山站,台北市河濱自行車租借站觀山站,台北市,大同區,塔悠路轉入塔悠疏散門往大直橋方向，高速公路橋下方。,25.071062,121.570179,0977320538
台灣高速鐵路公司,14號車列車長室(6.7車間),台北市,南港區,經貿二路66號,25.057297,121.616470,07-960-1000
台灣高速鐵路公司,17號車列車長室(6.7車間),台北市,南港區,經貿二路66號,25.057297,121.616470,07-960-1000
台灣高速鐵路公司,28號車列車長室(6.7車間),台北市,南港區,經貿二路66號,25.057297,121.616470,07-960-1000
臺北市立動物園,新光特展館,台北市,文山區,新光路二段30號,24.997343,121.583035,02-29382300-613
內湖區忠勇山步道旁慈聖宮,慈聖宮門口前方右手邊,台北市,內湖區,內湖路2段256巷16號,25.098977,121.584384,02-27828877
臺北市政府衛生局社區心理衛生中心,1樓大廳,台北市,中正區,金山南路一段5號,25.041679,121.529652,02-33936779#69
保證責任臺北市台北地下街場地利用合作社,Y19出入口廁所,台北市,中正區,市民大道一段100號B1,25.049598,121.512922,02-25594566分機508
台北市立木柵高工,健康中心,台北市,文山區,木柵路4段77號,24.996672,121.571746,0953761751
美麗華大直影城,6樓客梯左方,台北市,中山區,敬業三路22號6樓,25.083240,121.557863,0285022208
臺北市政府社會局大同之家,大同之家社工員辦公室內,台北市,北投區,東昇路12巷4號,25.146091,121.523027,23036783
臺北市立士林高級商業職業學校,健康中心,台北市,士林區,士商路150號,25.094771,121.516278,28313114-304
華泰王子大飯店,一樓大廳,台北市,中山區,林森北路369號,25.057855,121.525699,02-77216677
保證責任臺北市台北地下街場地利用合作社,Y13出入口廁所,台北市,中正區,市民大道一段100號B1,25.049398,121.514851,02-25594566分機508
臺北市立圖書館景新分館,7樓的落地窗旁,台北市,文山區,景後街151號5-10樓,24.990124,121.542015,2933-1244
臺北市立圖書館葫蘆堵分館,圖書館五樓,台北市,士林區,延平北路五段136巷1號5樓,25.082193,121.510873,0922366336
衛理女中,健康中心,台北市,士林區,至善路2段321號,25.101757,121.552310,28411487143
臺北市立圖書館東湖分館,圖書館大門入口右側,台北市,內湖區,五分街6號,25.067415,121.612610,02-26323378
欣欣秀泰影城,5樓客梯左側,台北市,中山區,林森北路247號3~5樓,25.054210,121.525601,25371889
洛德城堡親水體驗教育區,洛德城堡二樓櫃台旁,台北市,中正區,汀州路三段160巷底,25.012334,121.533275,23677556
中華學校財團法人中華科技大學,學苑一樓入口,台北市,南港區,研究院路3段245號,25.031219,121.609131,02-27821862轉131
行政院人事行政總處公務人力發展中心福華文教會館,地下室一樓休閒中心櫃檯旁,台北市,大安區,新生南路三段30號,25.022831,121.534192,0955108113
台北市河濱自行車租借站雙溪站,台北市河濱自行車租借站雙溪站,台北市,北投區,洲美街轉入河濱公園往洲美橋方向自行車道旁,25.097987,121.510769,0977320538
台北海洋技術學院士林校區,台北海洋技術學院士林校區樂群樓101教室旁,台北市,士林區,延平北路9段212號,25.108098,121.471255,28102292-7930
台灣高速鐵路公司,4號車列車長室(6.7車間),台北市,南港區,經貿二路66號,25.057297,121.616470,07-960-1000
台灣高速鐵路公司,9號車列車長室(6.7車間),台北市,南港區,經貿二路66號,25.057297,121.616470,07-960-1000
台灣高速鐵路公司,11號車列車長室(6.7車間),台北市,南港區,經貿二路66號,25.057297,121.616470,07-960-1000
台灣高速鐵路公司,12號車列車長室(6.7車間),台北市,南港區,經貿二路66號,25.057297,121.616470,07-960-1000
台灣高速鐵路公司,13號車列車長室(6.7車間),台北市,南港區,經貿二路66號,25.057297,121.616470,07-960-1000
台灣高速鐵路公司,15號車列車長室(6.7車間),台北市,南港區,經貿二路66號,25.057297,121.616470,07-960-1000
台灣高速鐵路公司,6號車列車長室(6.7車間),台北市,南港區,經貿二路66號,25.057297,121.616470,07-960-1000
台灣高速鐵路公司,20號車列車長室(6.7車間),台北市,南港區,經貿二路66號,25.057297,121.616470,07-960-1000
台灣高速鐵路公司,27號車列車長室(6.7車間),台北市,南港區,經貿二路66號,25.057297,121.616470,07-960-1000
台灣高速鐵路公司,30號車列車長室(6.7車間),台北市,南港區,經貿二路66號,25.057297,121.616470,07-960-1000
台灣高速鐵路公司,32號車列車長室(6.7車間),台北市,南港區,經貿二路66號,25.057297,121.616470,07-960-1000
臺北市第二殯儀館,第二殯儀館駐衛警隊入門處,台北市,大安區,辛亥路3段330號,25.013753,121.553039,02-87329721
富德靈骨樓,大門入口左方辦公室外牆,台北市,文山區,木柵路五段43巷190號,25.011621,121.591557,02-87329721
光點華山電影館,光點華山電影館(售票櫃台),台北市,中正區,八德路1段1號(中六電影館),25.044983,121.529005,(02)2394-0622分機150
臺北市第一殯儀館,臺北市第一殯儀館駐衛警,台北市,中山區,民權東路二段145號,25.062981,121.536136,02-87329721
林安泰古厝民俗文物館,書房,台北市,中山區,濱江街5號,25.072262,121.530628,02-25996026
誠品股份有限公司196號辦公室,松德大辦公室門口,台北市,信義區,松德路196號B1F,25.034946,121.574281,02-87898880#235
臺北市大安區大安國民小學,大安國小,台北市,大安區,臥龍街129號,25.020009,121.549095,27322332*886
桃園捷運A1台北車站,B1預辦登機層預辦登機區,台北市,中正區,鄭州路8號,25.049258,121.512276,(03)283-8888分機71165
台北市景文高級中學,創新樓一樓走廊底(健康中心旁),台北市,文山區,保儀路127號,24.985368,121.567395,29390310#252
桃園捷運A1台北車站,B1預辦登機層預辦登機區,台北市,中正區,鄭州路8號,25.049258,121.512276,(03)283-8888分機71165
臺北捷運北門站G14,B2大廳層主詢問處旁,台北市,大同區,塔城街10號,25.049425,121.510243,25505600#3636
臺北市碧湖國小,健康中心內,台北市,內湖區,金龍路100號,25.083976,121.591632,02-27912790
國立臺北教育大學,泳健館內泳池入口櫃臺後方,台北市,大安區,和平東路二段134號,25.022240,121.544207,(02)27331588
摩爾菲特國際有限公司,門口旁,台北市,中正區,三元街200號1樓,25.027658,121.511947,0956777001
Dr.Nail足研所,大門進入後的右手邊,台北市,大安區,大安路1段51巷36號1樓,25.042967,121.547586,0976-570-818
碧湖公園,管理室(小白宮),台北市,內湖區,內湖路2段175號,25.082751,121.582899,2700-3830
新光保全科技總部,大門入口右側,台北市,內湖區,行愛路128號1樓,25.063928,121.579959,0933886850
臺北市中山區公所,1樓大廳,台北市,中山區,松江路367號,25.064426,121.533457,25031369#613
最高行政法院,法院1樓,台北市,中正區,重慶南路1段126巷1號,25.037313,121.511829,02-23113691#157
臺北捷運唭哩岸站R20,捷運唭哩岸站一樓大廳,台北市,北投區,東華街2段301號,25.120872,121.506252,25505600轉4338
國立國父紀念館,1樓東側門內左側,台北市,北投區,仁愛路4段505號,25.079960,121.480936,27588008-563
台灣高速鐵路(股)公司-南港車站,台灣高速鐵路(股)公司-南港車站,台北市,南港區,南港路一段313號,25.053189,121.607064,03-2623000ext29119
臺北市大同發展中心,臺北市大同區昌吉街52號7樓,台北市,大同區,昌吉街52號7樓,25.065787,121.516270,02-2598-6886#16
台北市私立達人女子高級中學,輔導中心前,台北市,內湖區,內湖路2段314號,25.081253,121.587643,02-27956899#207
保證責任臺北市台北地下街場地利用合作社,Y28出入口旁,台北市,中正區,市民大道一段100號B1,25.049989,121.510801,02-25594566分機508
保證責任臺北市台北地下街場地利用合作社,Y2出入口旁,台北市,中正區,市民大道一段100號B1,25.048368,121.518244,02-25594566分機508
臺北捷運動物園站BR01,捷運動物園站3樓大廳,台北市,文山區,新光路2段32號,24.998269,121.579412,(02)27828660#3039
臺北捷運大湖公園站BR20,主詢問處附近,台北市,內湖區,成功路5段11號,25.083867,121.602090,(02)87975345
臺北捷運民權西路站R13,捷運淡水線民權西路站1F大廳層詢問處旁靠近編號C016儲藏室,台北市,中山區,民權西路72號,25.062925,121.519266,02-21812345
臺北捷運劍潭站R15,捷運淡水線劍潭站靠近1號出口側之女生廁所旁(付費區),台北市,士林區,中山北路5段65號,25.084873,121.525078,02-21812345
